name,owner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,issues,closedIssues,stars
system-design-101,ByteByteGoHq,2023-09-18T20:52:03Z,2026-03-13T15:32:17Z,None,23,0,0,0,80492
spring-boot,spring-projects,2012-10-19T15:02:57Z,2026-03-13T15:45:39Z,Java,45,339,0,0,80233
Deep-Live-Cam,hacksider,2023-09-24T13:19:31Z,2026-03-13T15:44:43Z,Python,98,11,0,0,79999
funNLP,fighting41love,2018-08-21T11:20:39Z,2026-03-13T15:08:14Z,Python,14,0,0,0,79369
advanced-java,doocs,2018-10-06T11:38:30Z,2026-03-13T12:57:24Z,Java,89,1,0,0,78897
vite,vitejs,2020-04-21T05:03:57Z,2026-03-13T15:47:40Z,TypeScript,6093,665,0,0,78860
github-readme-stats,anuraghazra,2020-07-09T10:34:22Z,2026-03-13T14:56:50Z,JavaScript,1568,0,0,0,78710
fzf,junegunn,2013-10-23T16:04:23Z,2026-03-13T15:46:39Z,Go,645,76,0,0,78563
hoppscotch,hoppscotch,2019-08-21T13:15:24Z,2026-03-13T15:41:00Z,TypeScript,2038,99,0,0,78418
netdata,netdata,2013-06-17T18:39:10Z,2026-03-13T15:29:55Z,C,11782,132,0,0,78051
models,tensorflow,2016-02-05T01:15:20Z,2026-03-13T13:41:19Z,Python,2342,51,0,0,77688
claude-code,anthropics,2025-02-22T17:41:21Z,2026-03-13T15:46:38Z,Shell,146,59,0,0,77506
gpt4all,nomic-ai,2023-03-27T18:49:32Z,2026-03-13T15:35:40Z,C++,938,38,0,0,77224
zed,zed-industries,2021-02-20T03:01:06Z,2026-03-13T15:47:03Z,Rust,22351,1000,0,0,77064
cs-video-courses,Developer-Y,2016-10-21T17:02:11Z,2026-03-13T15:43:48Z,None,258,0,0,0,77044
LeetCodeAnimation,MisterBooo,2018-12-06T08:01:22Z,2026-03-13T12:32:49Z,Java,63,0,0,0,76717
code-server,coder,2019-02-27T16:50:41Z,2026-03-13T15:29:02Z,TypeScript,1643,226,0,0,76629
llm-course,mlabonne,2023-06-17T22:16:25Z,2026-03-13T15:49:23Z,None,2,0,0,0,76601
spec-kit,github,2025-08-21T22:54:31Z,2026-03-13T15:50:14Z,Python,206,114,0,0,76488
localsend,localsend,2022-12-16T00:46:07Z,2026-03-13T14:59:19Z,Dart,702,24,0,0,76421
Font-Awesome,FortAwesome,2012-02-17T14:19:43Z,2026-03-13T14:16:40Z,JavaScript,220,63,0,0,76413
elasticsearch,elastic,2010-02-08T13:20:56Z,2026-03-13T15:46:08Z,Java,87714,235,0,0,76327
d2l-zh,d2l-ai,2017-08-23T04:40:24Z,2026-03-13T15:48:26Z,Python,1019,16,0,0,76176
PayloadsAllTheThings,swisskyrepo,2016-10-18T07:29:07Z,2026-03-13T15:38:50Z,Python,564,5,0,0,76024
Best-websites-a-programmer-should-visit,sdmg15,2017-03-05T20:25:17Z,2026-03-13T15:15:20Z,None,431,0,0,0,75839
json-server,typicode,2013-11-27T13:21:13Z,2026-03-13T12:07:16Z,JavaScript,165,47,0,0,75650
